catalog_number,item_name,category,item_image,unit_uom
ES1S-SM-BB001-100  ,Bearing 6205 2RSC3_SKF,,C420.jpg,PCS
ES1S-SM-BB001-101  ,Bearing 6202 2RSC3_SKF,,C421.jpg,
ES1S-SM-BB001-104  ,Bearing UC210,,C422.jpg,
ES1S-SM-BB001-121  ,Bearing 6008 2Z_SKF,,C423.jpg,PCS
ES1S-SM-BB001-129  ,Bearing 6204 2RSC3_SKF,,C424.jpg,PCS
ES1S-SM-BB001-144  ,Bearing 6210 ZZ_SKF,,C425.jpg,PCS
ES1S-SM-BB001-148  ,Bearing 6210 ZZC3_FAG,,C426.jpg,
ES1S-SM-BB001-176  ,Bearing 6309 ZZC3_SKF,,C427.jpg,
ES1S-SM-BB001-208  ,Bearing 6901 ZZ_FBJ_S/S,,C428.jpg,PCS
ES1S-SM-BB001-220  ,Bearing 6207 2ZC3GJN_SKF,,C429.jpg,PCS
ES1S-SM-BB002-001  ,Bearing Linear Shaft LMF 16UU,,C430.jpg,PCS
ES1S-SM-BB002-003  ,Bearing Linear Shaft LMF 30UU,,C431.jpg,PCS
ES1S-SM-BB002-004  ,Bearing Linear Shaft LM 25NUU,,C432.jpg,PCS
ES1S-SM-BEARING-6214ZZ-C3  ,Bearing 6214 ZZC3 (SKF) obselete,,,NOS
ES1S-SM-BH001-001  ,TAPER BUSHING 1610 - 16MM BORE,,C434.jpg,PCS
ES1S-SM-CP002-001  ,HEAT FURNACE ABSORBER 50MM x 6MM x 30M,,,ROLL
ES1S-SM-FR001-016  ,FEMALE ROLLER 2.15 ~ 4,,,PCS
ES1S-SM-IM001-003  ,Induction Aluminium Cage Motor 10HP,,C437.jpg,UNIT
ES1S-SM-LB001-001  ,Linear Bearing LMF20UU,,C438.jpg,PCS
ES1S-SM-LOCK-NUT-KM5  ,SKF KM5 LOCK NUT,,C439.jpg,PCS
ES1S-SM-OS001-001  ,Oil Seal_45x65x8,,C440.jpg,
ES1S-SM-PL001-001  ,TAPER BUSHED PULLEY 1 SPZ 118,,C441.jpg,PCS
ES1S-SM-PL002-020  ,Vee Belt_C102_BANDO,,C442.jpg,PCS
ES1S-SM-PL002-057  ,"V-Belt Pulley B3x16""",,,
ES1S-SM-PS001-001  ,Submersible Pump VITALI BF-205A,,C444.jpg,UNIT
ES1S-SM-PU001-001  ,Metering Pump TACMINA CSII-600-VTCF-HW,,C445.jpg,
ES1S-SM-RH002-005  ,Roulette Holder(S50C)4M-4919,,,
